index,satellite position,satellite velocity,satellite acceleration,time,sv
122.0,"[-3455324.4842442814, -17866651.962365367, -19172297.78010942]","[2191.845960967188, -404.87220691441337, -1482.7844711961]","[-0.002863487695324407, -0.02914987187127252, 0.41377077796637424]",2023-03-02 01:59:44,G31
123.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G32
124.0,"[-17065353.300366253, 3256414.1865030974, -20267353.10562185]","[-1943.4058123662503, -2910.5958807207653, 1313.6710608803928]","[-0.15770319886605655, 0.23252284804134804, 0.4246923501832042]",2023-03-02 02:00:00,G01
125.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G02
126.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G03
127.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G05
128.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G06
129.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G07
130.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G08
131.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G09
132.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G10
133.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G11
134.0,"[12790892.104481228, -19684217.72655764, -11993978.02984653]","[-80.80589605728821, 2240.9728814913124, -2683.3482379129637]","[0.11653669100273525, 0.33540836749582664, 0.2610176114734805]",2023-03-02 02:00:00,G12
135.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G13
136.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G14
137.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G15
138.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G16
139.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G17
140.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G18
141.0,"[25429842.41461047, -6759591.764481987, -474923.1810698376]","[15.380910751534355, 3978.5568507845223, -3234.6039104418087]","[0.15929912420182232, 0.10964902289910049, 0.010388834372051273]",2023-03-02 02:00:00,G19
142.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G20
143.0,"[-5996101.424262515, -19054007.42582299, 18060023.30379773]","[1927.9688580864574, -723.2901013128613, 1750.1170045090842]","[-0.014994862507051128, 0.006378160730950752, -0.368657893617686]",2023-03-02 02:00:00,G21
144.0,"[21220624.660853326, 4918458.650677783, 15644188.316240195]","[-1830.7788267005326, 3346.9549366643105, 2192.464281953179]","[0.16248680309166363, 0.19152885862831626, -0.32331495175741337]",2023-03-02 02:00:00,G22
145.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G23
146.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 02:00:00,G24
