index,satellite position,Unnamed: 0.1,satellite velocity,satellite acceleration,0.3,0.4,0.5,0.6,0.7,Unnamed: 0.8,0.8,time,sv
96.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,2023-03-02 01:59:44,G05
97.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,2023-03-02 01:59:44,G06
98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,2023-03-02 01:59:44,G07
99.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,2023-03-02 01:59:44,G08
100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2023-03-02 01:59:44,G09
101.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,2023-03-02 01:59:44,G10
102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,2023-03-02 01:59:44,G11
103.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,2023-03-02 01:59:44,G12
104.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,2023-03-02 01:59:44,G13
105.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,2023-03-02 01:59:44,G14
106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,2023-03-02 01:59:44,G15
107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,2023-03-02 01:59:44,G16
108.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,2023-03-02 01:59:44,G17
109.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,2023-03-02 01:59:44,G18
110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,2023-03-02 01:59:44,G19
111.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,2023-03-02 01:59:44,G20
112.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,2023-03-02 01:59:44,G21
113.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,2023-03-02 01:59:44,G22
114.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,2023-03-02 01:59:44,G23
115.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,2023-03-02 01:59:44,G24
116.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,2023-03-02 01:59:44,G25
117.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,2023-03-02 01:59:44,G26
118.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,2023-03-02 01:59:44,G27
119.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,2023-03-02 01:59:44,G28
120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,2023-03-02 01:59:44,G29
121.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,2023-03-02 01:59:44,G30
122.0,-3455324.4842442814,122.0,-17866651.962365367,-19172297.78010942,2191.845960967188,-404.87220691441337,-1482.7844711961,-0.0028634876953244,-0.0291498718712725,122.0,0.4137707779663742,2023-03-02 01:59:44,G31
123.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,2023-03-02 01:59:44,G32
124.0,-17065353.300366253,124.0,3256414.1865030974,-20267353.10562185,-1943.4058123662503,-2910.5958807207653,1313.6710608803928,-0.1577031988660565,0.232522848041348,124.0,0.4246923501832042,2023-03-02 02:00:00,G01
125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,2023-03-02 02:00:00,G02
126.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,2023-03-02 02:00:00,G03
127.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,2023-03-02 02:00:00,G05
128.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,2023-03-02 02:00:00,G06
129.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,2023-03-02 02:00:00,G07
130.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,2023-03-02 02:00:00,G08
131.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,2023-03-02 02:00:00,G09
132.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,2023-03-02 02:00:00,G10
133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,2023-03-02 02:00:00,G11
134.0,12790892.104481228,134.0,-19684217.72655764,-11993978.02984653,-80.80589605728821,2240.9728814913124,-2683.348237912964,0.1165366910027352,0.3354083674958266,134.0,0.2610176114734805,2023-03-02 02:00:00,G12
135.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,2023-03-02 02:00:00,G13
136.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,2023-03-02 02:00:00,G14
137.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,2023-03-02 02:00:00,G15
138.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,2023-03-02 02:00:00,G16
139.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,2023-03-02 02:00:00,G17
140.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,2023-03-02 02:00:00,G18
141.0,25429842.41461047,141.0,-6759591.764481987,-474923.1810698376,15.380910751534357,3978.5568507845214,-3234.6039104418087,0.1592991242018223,0.1096490228991004,141.0,0.0103888343720512,2023-03-02 02:00:00,G19
142.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,2023-03-02 02:00:00,G20
143.0,-5996101.424262515,143.0,-19054007.42582299,18060023.30379773,1927.9688580864567,-723.2901013128613,1750.1170045090842,-0.0149948625070511,0.0063781607309507,143.0,-0.368657893617686,2023-03-02 02:00:00,G21
144.0,21220624.660853326,144.0,4918458.650677783,15644188.316240195,-1830.7788267005328,3346.9549366643105,2192.464281953179,0.1624868030916636,0.1915288586283162,144.0,-0.3233149517574133,2023-03-02 02:00:00,G22
145.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,2023-03-02 02:00:00,G23
146.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,2023-03-02 02:00:00,G24
147.0,10131926.50469097,147.0,-22082473.162651263,-10065702.350558946,138.60295356497622,1771.8349248863717,-2824.9375880871653,0.0902357811740222,0.3463172291727929,147.0,0.2206399539540593,2023-03-02 02:00:00,G25
148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,2023-03-02 02:00:00,G26
149.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,2023-03-02 02:00:00,G27
150.0,-22809736.58327159,150.0,-12755857.152570631,4594608.703589411,-307.2078887305624,-3619.44772760158,-3108.98870624882,-0.1624884190147233,0.2491349500958199,150.0,-0.098049424276844,2023-03-02 02:00:00,G28
151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,2023-03-02 02:00:00,G29
152.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,2023-03-02 02:00:00,G30
153.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,2023-03-02 02:00:00,G31
154.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,2023-03-02 02:00:00,G32
155.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,2023-03-02 04:00:00,G01
156.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,2023-03-02 04:00:00,G02
157.0,-16212851.200506063,157.0,-2540663.4014796745,-20931674.19763784,-924.4549251911856,-2934.410647345332,996.1133147992578,-0.1707954807047502,0.1751242432399269,157.0,0.4434018340867746,2023-03-02 04:00:00,G03
158.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,2023-03-02 04:00:00,G05
159.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,2023-03-02 04:00:00,G06
160.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,2023-03-02 04:00:00,G07
161.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,2023-03-02 04:00:00,G08
162.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,2023-03-02 04:00:00,G09
163.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,2023-03-02 04:00:00,G10
164.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,2023-03-02 04:00:00,G11
165.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,2023-03-02 04:00:00,G12
166.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,2023-03-02 04:00:00,G13
167.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,2023-03-02 04:00:00,G14
168.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,2023-03-02 04:00:00,G15
169.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,2023-03-02 04:00:00,G16
170.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,2023-03-02 04:00:00,G17
171.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,2023-03-02 04:00:00,G18
172.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,2023-03-02 04:00:00,G19
173.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,2023-03-02 04:00:00,G20
174.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,2023-03-02 04:00:00,G21
175.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,2023-03-02 04:00:00,G22
176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,2023-03-02 04:00:00,G23
177.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,2023-03-02 04:00:00,G24
178.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,2023-03-02 04:00:00,G25
179.0,1568182.454000635,179.0,-21898249.274468355,-14676529.002896702,1074.6299476955671,378.0379238386731,-2276.303351846748,0.0295339885781158,0.2007533959874949,179.0,0.3176908327377873,2023-03-02 04:00:00,G26
180.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,2023-03-02 04:00:00,G27
181.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,2023-03-02 04:00:00,G28
182.0,888662.6475839093,182.0,-19189114.77985201,18292565.11677115,1668.9848110081637,-167.0442014749159,-1791.6714275934055,-0.0386125469850654,0.0643046387230972,182.0,-0.3906802843413688,2023-03-02 04:00:00,G29
183.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,2023-03-02 04:00:00,G30
184.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,2023-03-02 04:00:00,G31
185.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,2023-03-02 04:00:00,G32
186.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,2023-03-02 05:59:28,G01
187.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,2023-03-02 05:59:28,G02
188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,2023-03-02 05:59:28,G03
189.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,2023-03-02 05:59:28,G05
190.0,-14793597.197843488,190.0,-8584974.311998246,20359290.98123332,2370.3950176382555,-2449.1809344858,1284.8904726244955,-0.1222740607697566,-0.209375750817906,190.0,-0.4316435922693192,2023-03-02 05:59:28,G06
191.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,2023-03-02 05:59:28,G07
192.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,2023-03-02 05:59:28,G08
193.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,2023-03-02 05:59:28,G09
194.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,2023-03-02 05:59:28,G10
195.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,2023-03-02 05:59:28,G11
196.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,2023-03-02 05:59:28,G12
197.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,2023-03-02 05:59:28,G13
